AgencyName,OrganizationName,PositionTitle,PositionStatus,AppointmentTypeDescription,ExpirationDate,LevelGradePay,Location,IncumbentFirstName,IncumbentLastName,PaymentPlanDescription,Tenure,IncumbentBeginDate,IncumbentVacateDate
ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,CHAIRMAN,Filled,PAS,05/26/2027 00:00:00,II,"Washington, DC",ANDREW,FOIS,EX,5.0,,
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,CHAIRMAN,Vacant,PAS,,V,"Washington, DC",,,EX,4.0,,
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,COUNCIL MEMBER (EXPERT),Filled,PA,,,"LOS ANGELES, CA",CHARLES,WARD,PD,4.0,,
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,COUNCIL MEMBER (EXPERT),Vacant,PA,,,"CHARLESTON, SC",,,PD,4.0,,
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,COUNCIL MEMBER (EXPERT),Filled,PA,,,"CHARLESTON, SC",ERICA,AVRAMI,PD,4.0,6/14/2024 12:00:00 AM,2/18/2025 12:00:00 AM
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,COUNCIL MEMBER (EXPERT),Vacant,PA,,,"WILMINGTON, DE",,,PD,4.0,,
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,COUNCIL MEMBER (EXPERT),Filled,PA,,,"WILMINGTON, DE",FRANK,MATERO,PD,4.0,7/18/2023 12:00:00 AM,2/10/2025 12:00:00 AM
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,COUNCIL MEMBER (GENERAL PUBLIC),Filled,PA,,,"RIDGEFIELD, CT",JANE,WOODFIN,PD,4.0,,
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,COUNCIL MEMBER (GENERAL PUBLIC),Vacant,PA,,,"BEAR, DE",,,PD,4.0,,
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,COUNCIL MEMBER (GENERAL PUBLIC),Filled,PA,,,"BEAR, DE",CARMEN,JORDAN-COX,PD,4.0,3/20/2023 12:00:00 AM,2/24/2025 12:00:00 AM
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,COUNCIL MEMBER (GENERAL PUBLIC),Vacant,PA,,,"MIDLOTHIAN, TX",,,PD,4.0,,
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,COUNCIL MEMBER (GENERAL PUBLIC),Filled,PA,,,"MIDLOTHIAN, TX",MONICA,RHODES,PD,4.0,3/20/2023 12:00:00 AM,2/18/2025 12:00:00 AM
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,COUNCIL MEMBER (GOVERNOR),Filled,PA,,,"WILMINGTON, DE",JOHN,CARNEY,PD,4.0,,
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,COUNCIL MEMBER (INDIAN TRIBE MEMBER),Filled,PA,,,"SANTA ROSA, CA",AMELIA,MARCHAND,PD,4.0,,
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,VICE CHAIRMAN,Filled,PA,,,"FAIRFAX, VA",JORDAN,TANNENBAUM,PD,4.0,6/10/2021 12:00:00 AM,2/18/2025 12:00:00 AM
ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,VICE CHAIRMAN,Filled,PA,,"$195,200","FAIRFAX, VA",TRAVIS,VOYLES,PD,4.0,,
AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,"BOARD OF DIRECTORS, PRIVATE MEMBER",Filled,PAS,,,"MINNEAPOLIS, MN",EDWARD,BREHM,EX,6.0,,
AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,"BOARD OF DIRECTORS, PRIVATE MEMBER",Filled,PAS,,,"LOS ANGELES, CA",MORGAN,DAVIS,EX,6.0,,
AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,"BOARD OF DIRECTORS, PRIVATE MEMBER",Vacant,PAS,,,"JACKSONVILLE, FL",,,EX,6.0,,
AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,"BOARD OF DIRECTORS, PRIVATE MEMBER, CHAIR",Vacant,PAS,,,"GREENWICH, CT",,,EX,6.0,,
AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,"BOARD OF DIRECTORS, PRIVATE MEMBER, VICE CHAIR",Filled,PAS,,,"JACKSONVILLE, FL",JOHN,AGWUNOBI,EX,6.0,,
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,Chairman,Filled,PA,,,"ARLINGTON, VA",Michael,Garrett,WC,,,
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,Commission Member,Vacant,PA,,,"ARLINGTON, VA",,,WC,,,
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,Commission Member,Filled,PA,,,"ARLINGTON, VA",Kelly,Roberts,WC,,,
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,Commission Member,Filled,PA,,,"ARLINGTON, VA",Florent,Groberg,WC,,,
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,Commission Member,Vacant,PA,,,"ARLINGTON, VA",,,WC,,,
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,Commission Member,Vacant,PA,,,"ARLINGTON, VA",,,WC,,,
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,Commission Member,Filled,PA,,,"ARLINGTON, VA",Matthew,Jones,WC,,9/22/2021 12:00:00 AM,4/14/2025 12:00:00 AM
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,Commission Member,Vacant,PA,,,"ARLINGTON, VA",,,WC,,,
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,Commission Member,Vacant,PA,,,"ARLINGTON, VA",,,WC,,,
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,Commission Member,Filled,PA,,,"ARLINGTON, VA",Christopher,LaCivita,WC,,,
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,Commission Member,Filled,PA,,,"ARLINGTON, VA",Brooks,Tucker,WC,,,
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,SECRETARY,Vacant,PA,,,"ARLINGTON, VA",,,OT,,,
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,SECRETARY,Filled,PA,,,"ARLINGTON, VA",CHARLES,DJOU,OT,,5/18/2022 12:00:00 AM,4/14/2025 12:00:00 AM
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,Vice Chairman,Vacant,PA,,,"ARLINGTON, VA",,,WC,,,
AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION,Vice Chairman,Filled,PA,,,"ARLINGTON, VA",Daniel,Woodward,WC,,9/22/2021 12:00:00 AM,4/14/2025 12:00:00 AM
AMERICAN BATTLE MONUMENTS COMMISSION,"EXECUTIVE DIRECTOR, OPERATIONS",DIRECTOR OF SPECIAL PROJECTS,Filled,CA,,"$205,000","Washington, DC",THOMAS,SPOEHR,ES,,,
APPALACHIAN REGIONAL COMMISSION,APPALACHIAN REGIONAL COMMISSION,ALTERNATE FEDERAL CO-CHAIRMAN,Vacant,PAS,,V,"Washington, DC",,,EX,,,
APPALACHIAN REGIONAL COMMISSION,APPALACHIAN REGIONAL COMMISSION,EXECUTIVE ASSISTANT,Filled,SC,,12,"CHARLESTON, WV",MELISSA,PHALEN,GS,,,
APPALACHIAN REGIONAL COMMISSION,APPALACHIAN REGIONAL COMMISSION,FEDERAL CO-CHAIRMAN,Filled,PAS,,III,"Washington, DC",GAYLE,MANCHIN,EX,,,
ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ARCHITECT,Vacant,PAS,,,"Washington, DC",,,EX,10.0,,
ARCTIC RESEARCH COMMISSION,ARCTIC RESEARCH COMMISSION,Commission Chair,Filled,PA,02/26/2028 00:00:00,,"Washington, DC",LARRY,MAYER,PD,,,
ARCTIC RESEARCH COMMISSION,ARCTIC RESEARCH COMMISSION,Commission Member,Filled,PA,02/26/2027 00:00:00,,"Washington, DC",Cayenne,Carlo,PD,,,
