officialName,acronym,branch,orgType,orgLevel,parentId,establishedDate,dissolvedDate,websiteUrl,jurisdictionAreas
"Federal Judiciary",,judicial,branch,1,,"1789-09-24",,https://www.uscourts.gov,
"Supreme Court of the United States",SCOTUS,judicial,commission,2,,"1789-09-24",,https://www.supremecourt.gov,
"Administrative Office of the U.S. Courts",AO,judicial,office,2,,"1939-08-07",,https://www.uscourts.gov/about-federal-courts/judicial-administration/administrative-office-us-courts,
"Federal Judicial Center",FJC,judicial,office,2,,"1967-12-20",,https://www.fjc.gov,
"United States Sentencing Commission",USSC,judicial,commission,2,,"1984-10-12",,https://www.ussc.gov,
"U.S. Court of Appeals for the First Circuit",CA1,judicial,commission,2,,"1891-03-03",,https://www.ca1.uscourts.gov,ME;MA;NH;RI;PR
"U.S. Court of Appeals for the Second Circuit",CA2,judicial,commission,2,,"1891-03-03",,https://www.ca2.uscourts.gov,CT;NY;VT
"U.S. Court of Appeals for the Third Circuit",CA3,judicial,commission,2,,"1891-03-03",,https://www.ca3.uscourts.gov,DE;NJ;PA;VI
"U.S. Court of Appeals for the Fourth Circuit",CA4,judicial,commission,2,,"1891-03-03",,https://www.ca4.uscourts.gov,MD;NC;SC;VA;WV
"U.S. Court of Appeals for the Fifth Circuit",CA5,judicial,commission,2,,"1891-03-03",,https://www.ca5.uscourts.gov,LA;MS;TX
"U.S. Court of Appeals for the Sixth Circuit",CA6,judicial,commission,2,,"1891-03-03",,https://www.ca6.uscourts.gov,KY;MI;OH;TN
"U.S. Court of Appeals for the Seventh Circuit",CA7,judicial,commission,2,,"1891-03-03",,https://www.ca7.uscourts.gov,IL;IN;WI
"U.S. Court of Appeals for the Eighth Circuit",CA8,judicial,commission,2,,"1891-03-03",,https://www.ca8.uscourts.gov,AR;IA;MN;MO;NE;ND;SD
"U.S. Court of Appeals for the Ninth Circuit",CA9,judicial,commission,2,,"1891-03-03",,https://www.ca9.uscourts.gov,AK;AZ;CA;HI;ID;MT;NV;OR;WA;GU;MP
"U.S. Court of Appeals for the Tenth Circuit",CA10,judicial,commission,2,,"1929-02-28",,https://www.ca10.uscourts.gov,CO;KS;NM;OK;UT;WY
"U.S. Court of Appeals for the Eleventh Circuit",CA11,judicial,commission,2,,"1981-10-01",,https://www.ca11.uscourts.gov,AL;FL;GA
"U.S. Court of Appeals for the D.C. Circuit",CADC,judicial,commission,2,,"1893-02-09",,https://www.cadc.uscourts.gov,DC
"U.S. Court of Appeals for the Federal Circuit",CAFC,judicial,commission,2,,"1982-04-02",,https://www.cafc.uscourts.gov,
"U.S. Court of International Trade",CIT,judicial,commission,2,,"1980-10-10",,https://www.cit.uscourts.gov,
"U.S. Court of Federal Claims",COFC,judicial,commission,2,,"1982-04-02",,https://www.uscfc.uscourts.gov,
"U.S. Tax Court",USTC,judicial,commission,2,,"1942-02-25",,https://www.ustaxcourt.gov,
"U.S. District Court for the District of Maine",DME,judicial,commission,3,CA1,"1789-09-24",,https://www.med.uscourts.gov,ME
"U.S. District Court for the District of Massachusetts",DMA,judicial,commission,3,CA1,"1789-09-24",,https://www.mad.uscourts.gov,MA
"U.S. District Court for the District of New Hampshire",DNH,judicial,commission,3,CA1,"1789-09-24",,https://www.nhd.uscourts.gov,NH
"U.S. District Court for the District of Rhode Island",DRI,judicial,commission,3,CA1,"1790-06-23",,https://www.rid.uscourts.gov,RI
"U.S. District Court for the District of Puerto Rico",DPR,judicial,commission,3,CA1,"1900-04-12",,https://www.prd.uscourts.gov,PR
"U.S. District Court for the District of Connecticut",DCT,judicial,commission,3,CA2,"1789-09-24",,https://www.ctd.uscourts.gov,CT
"U.S. District Court for the Eastern District of New York",EDNY,judicial,commission,3,CA2,"1865-02-25",,https://www.nyed.uscourts.gov,NY
"U.S. District Court for the Northern District of New York",NDNY,judicial,commission,3,CA2,"1814-04-09",,https://www.nynd.uscourts.gov,NY
"U.S. District Court for the Southern District of New York",SDNY,judicial,commission,3,CA2,"1814-04-09",,https://www.nysd.uscourts.gov,NY
"U.S. District Court for the Western District of New York",WDNY,judicial,commission,3,CA2,"1900-06-29",,https://www.nywd.uscourts.gov,NY
"U.S. District Court for the District of Vermont",DVT,judicial,commission,3,CA2,"1791-03-02",,https://www.vtd.uscourts.gov,VT
"U.S. District Court for the District of Delaware",DDE,judicial,commission,3,CA3,"1789-09-24",,https://www.ded.uscourts.gov,DE
"U.S. District Court for the District of New Jersey",DNJ,judicial,commission,3,CA3,"1789-09-24",,https://www.njd.uscourts.gov,NJ
"U.S. District Court for the Eastern District of Pennsylvania",EDPA,judicial,commission,3,CA3,"1818-04-20",,https://www.paed.uscourts.gov,PA
"U.S. District Court for the Middle District of Pennsylvania",MDPA,judicial,commission,3,CA3,"1901-03-02",,https://www.pamd.uscourts.gov,PA
"U.S. District Court for the Western District of Pennsylvania",WDPA,judicial,commission,3,CA3,"1818-04-20",,https://www.pawd.uscourts.gov,PA
"U.S. District Court for the District of the Virgin Islands",DVI,judicial,commission,3,CA3,"1984-10-05",,https://www.vid.uscourts.gov,VI
"U.S. District Court for the District of Maryland",DMD,judicial,commission,3,CA4,"1789-09-24",,https://www.mdd.uscourts.gov,MD
"U.S. District Court for the Eastern District of North Carolina",EDNC,judicial,commission,3,CA4,"1872-06-04",,https://www.nced.uscourts.gov,NC
"U.S. District Court for the Middle District of North Carolina",MDNC,judicial,commission,3,CA4,"1927-03-03",,https://www.ncmd.uscourts.gov,NC
"U.S. District Court for the Western District of North Carolina",WDNC,judicial,commission,3,CA4,"1872-06-04",,https://www.ncwd.uscourts.gov,NC
"U.S. District Court for the District of South Carolina",DSC,judicial,commission,3,CA4,"1789-09-24",,https://www.scd.uscourts.gov,SC
"U.S. District Court for the Eastern District of Virginia",EDVA,judicial,commission,3,CA4,"1871-07-15",,https://www.vaed.uscourts.gov,VA
"U.S. District Court for the Western District of Virginia",WDVA,judicial,commission,3,CA4,"1871-07-15",,https://www.vawd.uscourts.gov,VA
